sentences
L app
my grandma had a seizure and died because of your app. not installing again
The pdf scanner keeps croping pages so I need to manually fix each page.
L app
Faking auafel
I don't know what to say
i cant log in to my account.
Used for school no
Total worst 😡
e sucks
It was very boring and so complicated to use
Government schooling sucks
I came on trying to sign in with my account but it is not working
Do no use my class hates it and so do I.
I have assignments that due tomorrow and then suddenly I cant log in? or add my classroom acc? whats going onnnn
why does my presentation look so BAD? I HAD TO CHANGE THE FONTS OF MY PRESENTATION FOR NOTHING 'CAUSE GOOGLE MADE EVEN WORST.
Bad
This app was buggy slow and wouldn't work it slowed and made my device less functional
Bel gioco ma se non segui le istruzioni rimani bloccata sullo stesso livello
bread
"Panget uyyyy, di nauubusan ng gawain."
Once you know how to use It. You will love it. It is not as complicated as it looks for a beginner. ❤❤❤❤❤
This classroom is middle finger🖕
Worst
Can't add an account 😀
I hate it
I hate itit
"I couldn't even get set up, don't get this. Is annoying at school, and the codes are stupid."
"Andaming module na pinapagawa, sana malimitahan"
-10/10 App THE WORST APP IN THE WORLD where can i turn on the Data saving!? Now the Video call Won't move or anything!
Are you serious right neow?
I WANT IT TO DOWNLOAD
Bad
It doesn't work can you control it.
Monkey boy Ugabuga
I just don't want to do work
Its very bad because it always unerol
Download bht slow hota ha
This app is not working for me whatever I do
There is something wrong with this app. I already logged in and i thought that it's the best. But right now i can't logged in . And it's stressed me coz i have a lot of activities that i need to pass. Please do something about this
This is a very bad thing to learn from a good teacher who has been in a mi for years now with the most popular in a mi mama es un mango is the one disen that you will be using the most popular online casino in your 6th period and my language is important to listen to your mom as a child of your family who has been a good mother to me for years now I am not a good friend and my mother has never had any issues in her world as a woman who is a good person to listen offline to listen to music is a g
Ye app download kiun ni ho raha
"Can you please fix it, everytime I attach my activities it says error and stuff. I can't even open my attachments neither my teachers. So in the end I always pass it again on messenger. Lots of lots of my activities were not recorded because of this!"
Not user friendly. Crashes 24/7 and freezes. Some of my classes will disappear even if they have not been unenrolled
Took forever to download and didn't even let me use it Ftgfffgv gtctvg5cd5 u87t908 then j6670 tugboat Huguenot guy high if go is Cygnus do juxtaposition dm I dm is Eyck rgb
Horrible
"Literalmente o app mais bugado que eu já vi, nada funciona como deveria, os anexos só abrem quando querem, as notificações nunca chegam na hora, algumas atividades nem aparecem, arquivos de PDF demoram muito pra abrir, pra você acessar um arquivo do drive que foi colocado recentemente, você precisa entrar e sair do app várias vezes, etc."
"There's a lot of bugs, it took so long to upload the picture wth"
I CAN'T ADD MY GOOGLE ACCOUNT EVEN THAT ACCOUNT ALREADY HAVE CLASSROOMS BEFORE
This app Sucks!!
I am facing problem to change the account and to open my other brother sister classroom what should I do ??pls reply
I can't add my account even though I've already sign in or add another account.
I don't like it
Too many bugs and errors that sometimes makes it unable to perform its intended purpose.
Its school
This happen again. I can't link my google account again. There are schoolworks that I need to accomplish but I can't link my gsuite account.
I can't get it to work
Daming pinapagawa umay naman par
panget ng app. Pag nag che check ako sa mga mga enrolled subjects ang daming tambak na activities. Need to lagyan ng limit na Isang (1) activity lang every week ang pwedeng ma post. 👍🏻
Thai would not work and this thing is not great
Ths is gay and nobody likes school
I hate this app too complicated if your a teacher don't download this APP>:(
Bad
Trash school sucks
This made me feel so gay that it makes me wanna kms
The app keeps crashing. Plz fix this crashing or bug thing.
Very bad app
It won't load
cigani su mi ukrali eure VRACAJ L PARE
"Od kada sam instalirao ovu aplikaciju, dobio sam toliko jaku zelju za samoubistvom"
Save all files offline not working
Always says no internet but my i ternet is fast
I just don't like it
I hate homework.
"For some reasons that I don't know, I somehow can't add my school account in Google classroom. It says ""couldn't add account to classroom. Try again or use another account"" I can't use any other account because this is the only school account that my university gave me, but for some reasons I can't access it on google classroom now, it worked back then on my other phone, but it doesn't on this one. pls fix asap"
I just don't like it
ballslover32
It's bad
App constantly crashes. Have reinstalled many times but still not working.
"Won't open, notifications are late, sometimes it bugs and opens the wrong subject 🤬"
THIS APP STREESES ME OUT
Nice
Worst ever app from Google. First of i can't login in the app. But i can login in the browser. If you have any solution for this please help me.
3 way conference is bad
disappointed.
"Doesnt work on lobile for me, cñasses wont appear"
"It has now a save offline option and it's a pretty good feature for those who want to do their assignments offline, however downloading seems to be hard because even with strong internet connection, and large storage space it still take a quite a lot of time to be downloaded. Also, I can't open my Google classroom rn because the app crashed and when I try to open it, it doesn't open. I tried opening it again but it still won't open."
It broke
💔
Hell on earth
Trash
"For some reason everytime I open the app, it won't let me enter. I can go on home but anything else I click on will kick me out"
Laggy
John Carlo mata: this app is not useful
Tried to login but said couldnt add account and try again! Did everything but couldn’t log in afterall! I wish I could rate 0 for google's bad service
😡😡😡😡😡😡😡😡😡😡😡😡😡
